essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,rater1_domain2,rater2_domain2,domain2_score,rater1_trait1,rater1_trait2,rater1_trait3,rater1_trait4,rater1_trait5,rater1_trait6,rater2_trait1,rater2_trait2,rater2_trait3,rater2_trait4,rater2_trait5,rater2_trait6,rater3_trait1,rater3_trait2,rater3_trait3,rater3_trait4,rater3_trait5,rater3_trait6
11,1,"Build and maintain the Support Operations Analytics infrastructure.
Customize and maintain tools to provide insights and visibility into key strategic and operational performance of the organization.
Define and action analysis on operational data sets to provide strategic recommendations to multiple levels of leadership; package analysis for reports and presentations to shape strategic and operational decisions.
Draw insights from analyzing data to improve Support Operations quality and efficiency.
Contribute to strategic planning around product launches.",8,8,,9,,,,,,,,,,,,,,,,,,,,,
12,1,"Serve as point of contact for Partners and manage consistent and operationally efficient “Partner first” business practices to onboard and support our partners through their partnership lifecycle.
Understand and propose the necessary systems and process changes to reduce friction for our partners and Sales teams.
Contribute to the development of existing and future state Partner Onboarding activities and initiatives that develop ongoing touch points with Partners to increase their success with Google Cloud.
Promote new initiatives and offers proactively to our partners in a scalable fashion that energizes our partner ecosystem.",10,8,,10,,,,,,,,,,,,,,,,,,,,,
13,1,"Implement creative ways to improve our customer relationships, tailor and share online marketing strategy suggestions, and promote other Google products.
Communicate with customers proactively, via phone and email.
Provide strategic advice and help our advertisers get the best experience from their investment by working with them in a consultative role.
Deliver consistently against strategic goals while prioritizing and delivering an outstanding customer sales experience to Google's advertisers.",9,9,,10,,,,,,,,,,,,,,,,,,,,,
14,1,"Develop and track core metrics across all Google Cloud products, including overall satisfaction, customer effort, net promoter score (NPS), partner satisfaction, etc.
Build and maintain reports, dashboards and metrics to monitor the performance of the program
Apply quantitative analysis, data mining and data presentation to provide meaningful business insights to stakeholders (with support from data scientists)
Provide insights that influence and drive actions/improvements across the customer journey
Demonstrate ability to manage risks at the operational level to ensure smooth execution of survey launches",9,10,,7,,,,,,,,,,,,,,,,,,,,,
15,1,"Produce required design specifications, provide technical leadership and architectural mentorship and help customers build quality technical solutions/implementations with on-premises, cloud and hybrid cloud-based Apigee solution.
Work closely with geographically distributed Apigee and Customer project teams to align the technical requirements and the solution design with the customer's business drivers and in order to demonstrate our value.
Act as a liaison for the engineering and product teams to commercialize solutions with partners and customers.
Travel up to 50% of the time.",8,9,,7,,,,,,,,,,,,,,,,,,,,,
16,1,"Work as part of the Sales team to identify and qualify Platform opportunities and determine if Google Cloud Platform is right for them. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Take responsibility for leading the technical project, including such activities as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Work hands-on with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Travel frequently around EMEA for meetings, technical reviews and onsite delivery activities.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.",7,10,,7,,,,,,,,,,,,,,,,,,,,,
17,1,"Lead a team of software and systems engineers on cloud storage products used and enjoyed by users worldwide and be directly responsible for Google's stellar uptime record.
Manage end-to-end availability and performance of mission critical services and build automation to prevent problem recurrence. Eventually automate response to all non-exceptional service conditions.
Lead by example, care for your team, and establish credibility with the quality of your own and your team's technical execution.
Manage on-call rotations across continents, using a follow-the-sun model.
Design, write and deliver software to improve the availability, scalability, latency, and efficiency of Google's services.",9,7,,7,,,,,,,,,,,,,,,,,,,,,
18,1,"Develop and implement global supply chain strategies.
Manage suppliers to ensure material availability and readiness for the development builds and mass production.
Serve as the escalation point for all supplier related issues in mass production.
Understand component lead time and evaluate associated supply chain risks.",9,10,,7,,,,,,,,,,,,,,,,,,,,,
19,1,"Plan, coordinate, and deliver platforms hardware products.
Lead creating and maintaining credible and data-driven schedules and milestones.
Engage in technical and schedule tradeoff discussions.
Manage teams through design, development, test, manufacturing, deployment, and sustaining activities for hardware products.
Collaborate with engineering and operations teams to understand requirements and articulate the value proposition of engineering projects.",7,8,,10,,,,,,,,,,,,,,,,,,,,,
20,1,"Apply advanced statistical methods and work with large, complex data sets.
Solve difficult, non-routine challenges, and clearly communicate highly technical results and methods.
Interact cross-functionally with a wide variety of people and teams.
Lead investigations into multiple streams of ads quality data.",8,7,,10,,,,,,,,,,,,,,,,,,,,,
21,1,"Build and manage an engineering productivity team focused on improving testability of the Google’s diverse project areas and platforms.
Create the next generation developer infrastructure for Google, focusing on developer experience, integration and scalability.
Define team strategy and roadmap, and drive adoption of test infrastructure across several product areas.
Manage the development of engineers on your teams through project and task assignment, individual coaching and identifying relevant training classes.
Provide knowledge in the application of Machine Learning to engineering productivity challenges, driving the creation of innovative tools with Google-wide impact.",8,8,,9,,,,,,,,,,,,,,,,,,,,,
22,1,"Set the standard for successful delivery and execution regarding customer engagements. Lead by example when it comes to making customers in your region successful.
Share best practices proactively with your counterparts in other regions. Emphasize shared success across your team and across regions.
Establish and maintain your team’s position as key strategic advisor to business executives and IT stakeholders for Google Cloud’s accounts, ensuring their business priorities are met using Google Cloud solutions.
Work with customer technical leads, client executives, and partners to manage and deliver successful migrations to Google Cloud solutions.
Build the capabilities of Google’s channel partners in your region by establishing Professional Services Organization (PSO)/partner go-to-market strategies, and by actively developing and sharing best practice recommendations gained during customer engagements.",7,8,,10,,,,,,,,,,,,,,,,,,,,,
23,1,"Develop and track core metrics across all Google Cloud products, including overall satisfaction, customer effort, net promoter score (NPS), partner satisfaction, etc.
Build and maintain reports, dashboards and metrics to monitor the performance of the program
Apply quantitative analysis, data mining and data presentation to provide meaningful business insights to stakeholders (with support from data scientists)
Provide insights that influence and drive actions/improvements across the customer journey
Demonstrate ability to manage risks at the operational level to ensure smooth execution of survey launches",10,8,,8,,,,,,,,,,,,,,,,,,,,,
24,1,"Manage a global team of Technical Trainers.
Grow the team to achieve staffing goals while ensuring high training standards are maintained.
Optimize the performance of the Training team by ensuring the team has access to the necessary resources, assets, networks and tools.
Ensure best training practices are shared across the global team.
Work cross-functionally with the Curriculum Development team to ensure an effective feedback loop is in place between instructors and that team. Optimize delivery schedules to ensure alignment with business goals.",7,9,,9,,,,,,,,,,,,,,,,,,,,,
25,1,"Work with Partner Managers to identify and recruit partners in the market that can deliver innovative solutions to our customers, built on top of Google Cloud (Google Cloud Platform and G Suite).
Develop our partners’ technical teams with both sales and technical competencies, so that they can be successful in the market.
Keep partners up-to-date with product and technical knowledge and market differentiators.
Work with partner technical representatives in opportunities and projects, complementing their skill and guaranteeing high quality customer deliverables. Advise on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing “best practice” advice to customers and partners to optimize Google Cloud effectiveness.
Act as a technical advocate within Google for our partners in order to help provide feedback from the field, as well as to present on their behalf.",8,9,,7,,,,,,,,,,,,,,,,,,,,,
26,1,"Obtain and maintain an in-depth understanding of Google's product technology, architecture and implementation. Cultivate and transfer knowledge to Google’s support groups.
Guide or perform design and implementation of new support, productivity or investigation tools in order to increase efficiency for the technical support process.
Act as a consultant and knowledge base for Product Managers, Sales Engineers, Technical Account Managers, and Deployment Specialists, resolving technical deployment obstacles, improving the product's vision and making Google customers successful.
Work closely with multiple Google Product Management and Software Engineering teams on understanding ways to improve the product. Interact with Quality Assurance (QA) teams to drive exceptional testing quality.
Diagnose and resolve complex customer problems for the Google Chrome product area in an engineering support function, as part of a global 24x7 global team.",9,7,,8,,,,,,,,,,,,,,,,,,,,,
27,1,"Understand the supply chain data structure and critical data elements that bridge across multiple supply chain functions, integrate with supply chain tools and are shared with external stakeholders.
Identify data integrity matters and gaps, and structure and manage data clean-up projects to increase accuracy while also implementing long-term process improvements and automation/tool development.
Scope, drive and implement cross-functional projects that drive the operationalization of data integrity and management as part of supply chain operational responsibilities.
Define and implement metrics focused around data management. Ensure buy-in and support from cross-functional data owners",10,7,,10,,,,,,,,,,,,,,,,,,,,,
28,1,"Work as part of the Sales team to identify and qualify Platform opportunities and determine if Google Cloud Platform is right for them. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Take responsibility for leading the technical project, including such activities as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Work hands-on with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Travel frequently around EMEA for meetings, technical reviews and onsite delivery activities.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.",9,7,,10,,,,,,,,,,,,,,,,,,,,,
29,1,"Work with JAPAC Partner and Alliances Lead to develop the Go-to-Market strategy for the region. Build and lead a team of technical Partner Engineers across APAC and Japan.
Identify and recruit partners in the market that can deliver innovative solutions to our customers, built on top of Google Cloud.
Develop Partners’ technical teams advising on their technical business plan and readiness, so that they can be successful in the market. Keep them up to date with latest product and technical knowledge and be an internal technical advocate for them, to help provide feedback from the field.
Engage with technical leadership parterns in large strategic opportunities and projects, complementing their skill and guaranteeing high quality customer deliverables.
Travel up to 40% of the time as required, to visit partners across a defined geographic territory.",8,10,,8,,,,,,,,,,,,,,,,,,,,,
30,1,"Oversee a sales program across office(s), responsible for delivering appointments between prospective new advertisers and New Business Account Executives.
Deliver training programs and execute process to maximize productivity.
Implement and maintain an effective business rhythm.",10,10,,8,,,,,,,,,,,,,,,,,,,,,
31,1,"Work closely with our Sales team to identify, develop, and optimize new business opportunities and develop client relationships by leveraging Google products and technologies. Develop cutting-edge solutions as the technical lead, provide consulting services to our partners, build lasting relationships and be sensitive to client needs.
Help partners in their day-to-day challenges by delivering innovative and scalable solutions and troubleshooting their issues.
Propose, design, create and present prototypes, demos and proofs-of-concept to a wide variety of audiences, from engineers to marketing professionals.
Perform implementation reviews. Advocate for new product features, and provide partner feedback to internal cross-functional teams including Product Management and Engineering.
Travel as required to meet with specific partners/clients internationally.",7,7,,7,,,,,,,,,,,,,,,,,,,,,
32,1,"Provide consulting services, share best practices and conduct technical troubleshooting for clients.
Work with core teams to develop strategy, including best practices, change management and optimization analysis.
Implement new product features as they relate to client product usage.
Collaborate with the regional and global Sales and Services teams to lead monitoring exchange activity efforts and to track performance against goals.
Ensure project team, internal management and external customers receive appropriate, timely and accurate project information and status updates, identifying delays, budgets and technical quality concerns so that they can be proactively addressed.",7,7,,8,,,,,,,,,,,,,,,,,,,,,
33,1,"Develop a key performance indicators (KPI) dashboard and competitive insights for use by Executive team to manage the business. Establish and lead operating processes and tools for effectively managing the organization, including actively tracking key trends in lagging/leading metrics.
Provide insightful data-driven strategic recommendations to leadership. Communicate findings from initiatives to management and the broader organization.
Partner closely with other functions relevant to the team, including Product and Engineering, Communications, PR, Marketing, Finance, Legal and Operations. Use cross-functional knowledge and seek to understand issues, trends and perspectives that may influence the business.
Drive the Leadership team towards clear, efficient and accountable decision making. Distill and cascade core tenets of our strategy for board, leadership and other internal and external stakeholders.",10,7,,10,,,,,,,,,,,,,,,,,,,,,
34,1,"Guide partners and clients through the entire implementation process.
Consult with stakeholders to define the project structure, requirements and priorities.
Manage customer expectations of product delivery by establishing a trusted relationship and regularly communicating project status and requirements.
Identify potential opportunities for service partner development and education.
Investigate and track client concerns and collaborate to resolve any account issues. Work with other departments within GA360 to actively manage and resolve project-related issues.",7,8,,8,,,,,,,,,,,,,,,,,,,,,
35,1,"Work as part of the Sales team to identify and qualify platform opportunities, and determine if Google Cloud Platform is right for them. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Take responsibility for leading technical projects, including such activities as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Work hands-on with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Travel as required around EMEA for meetings, technical reviews and onsite delivery activities.
Prepare and deliver product messaging in an effort to highlight the Google Cloud Platform value proposition, using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on the integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution, providing best practice advice to customers to optimize Google Cloud Platform effectiveness.",7,7,,10,,,,,,,,,,,,,,,,,,,,,
36,1,"Develop and execute global supply chain strategies.
Drive suppliers to ensure material availability and readiness for the development builds and mass production.
Serve as the escalation point for all supplier related issues in mass production.
Understand component lead time and evaluate associated supply chain risks.",7,10,,10,,,,,,,,,,,,,,,,,,,,,
37,1,"Coordinate and facilitate between internal teams to gain feedback and insight into agreements and initiatives.
Advise business development and technology management teams, as well as legal on risks around technical solutions and service level commitments.
Work with key stakeholders to create, draft and communicate implementation standards to facilitate smoother operations and improve decision making.
Review and approve technical agreement terms.",9,9,,10,,,,,,,,,,,,,,,,,,,,,
38,1,"Work as part of the Sales team to identify and qualify platform opportunities. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Lead technical projects including such activities as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work and the coordination of supporting technical resources.
Work hands-on with Google for Work Cloud Platform products to demonstrate and prototype integrations in customer/partner environments.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.",9,7,,7,,,,,,,,,,,,,,,,,,,,,
39,1,"Align Googlers from multiple organization to deliver outstanding product and program outcomes.
Drive the planning and execution of the software development programs, working closely with engineers, product managers, site reliability engineers, and other key stakeholders. Establish goals, schedule and milestones. Proactively manage dependencies and anticipate/resolve execution issues.
Be the trusted owner of the status of your releases and programs.
Drive visibility on progress/dependencies/risks/issues to executives and other stakeholders.
Build strong partnerships across Google and leverage your credibility and technical acumen to drive process improvements and efficiencies that lead to better quality and increased velocity/productivity.",8,7,,10,,,,,,,,,,,,,,,,,,,,,
40,1,"Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables.",8,10,,9,,,,,,,,,,,,,,,,,,,,,
41,1,"Help compile customer requirements as well as survey existing customer IT landscape to enable integrations from PoC stage to a full deployment of products managing healthcare and/or life sciences data in Google Cloud.
Define the business case for solutions, design solutions to help prototype and develop the customer’s new environment, and guide solutions through launch to market. Create training materials, guides, demonstrations and white papers and help scale solutions delivery.
Engage standards communities to drive the development of standards that meet platform and customer needs, and ensure that standards implementers know what the Google Cloud Healthcare platform can do for them.
Demonstrate thought leadership in cloud computing across multiple channels and become a trusted advisor to decision makers. Provide customer and market feedback to the Product and Engineering teams and help shape product direction.
Travel as required in-region for meetings, technical reviews and onsite delivery activities.",9,10,,9,,,,,,,,,,,,,,,,,,,,,
42,1,"Provide Program Management support to Google Cloud Online Experience projects.
Provide operational support for Online Operations including recruiting and space planning.
Implement consistent reporting and tracking across Product teams, and track upcoming product launches and milestones .
Partner in the development and roll out of communication and on-boarding programs.
Support budget planning and ongoing tracking.",8,9,,8,,,,,,,,,,,,,,,,,,,,,
43,1,"Work as part of the Sales team to identify and qualify platform opportunities. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Lead technical projects including such activities as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work and the coordination of supporting technical resources.
Work hands-on with Google for Work Cloud Platform products to demonstrate and prototype integrations in customer/partner environments.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.",10,10,,10,,,,,,,,,,,,,,,,,,,,,
44,1,"Support the management of outsourced operations as well as workforce management in EMEA region.
Achieve strategic business goals for vendor workforce in terms of customer experience, service levels, quality, delivery of service and cost.
Monitor daily performance, collect and analyze data in order to recognize trends and potential issues across key performance metrics.
Support vendor selection, agreements and overall vendor operations strategy, while leading regular business reviews and manage vendor relationships.
Work closely with various internal groups to understand business requirements, implement new products or processes, participate in workforce planning and budgeting activities, and contribute to ongoing process improvements.",9,9,,8,,,,,,,,,,,,,,,,,,,,,
45,1,"Produce required design specifications, provide technical leadership and architectural mentorship and help customers build quality technical solutions/implementations with on-premises, cloud and hybrid cloud-based Apigee solution.
Work closely with geographically distributed Apigee and Customer project teams to align the technical requirements and the solution design with the customer's business drivers and in order to demonstrate our value.
Act as a liaison for the engineering and product teams to commercialize solutions with partners and customers.
Travel up to 50% of the time.",7,9,,8,,,,,,,,,,,,,,,,,,,,,
46,1,"Manage feature development for graphics modeling and rendering of the robotics simulation system.
Drive engineering excellence towards high-quality and highly-stable code.
Collaborate with Product and Engineering teams across geographical locations.",10,7,,10,,,,,,,,,,,,,,,,,,,,,
47,1,"Write technical documentation for our external developer audience, such as API reference docs and developer guides.
Design and organize documentation sets for new APIs and developer products.
Edit, clarify, and proofread documents written by others, and coach non-writers on ways to improve their writing skills.
Supplement developer documentation with relevant sample code.",7,9,,7,,,,,,,,,,,,,,,,,,,,,
48,1,"Help compile customer requirements as well as survey existing customer IT landscape to enable integrations from PoC stage to a full deployment of products managing healthcare and/or life sciences data in Google Cloud.
Define the business case for solutions, design solutions to help prototype and develop the customer’s new environment, and guide solutions through launch to market. Create training materials, guides, demonstrations and white papers and help scale solutions delivery.
Engage standards communities to drive the development of standards that meet platform and customer needs, and ensure that standards implementers know what the Google Cloud Healthcare platform can do for them.
Demonstrate thought leadership in cloud computing across multiple channels and become a trusted advisor to decision makers. Provide customer and market feedback to the Product and Engineering teams and help shape product direction.
Travel as required in-region for meetings, technical reviews and onsite delivery activities.",10,7,,9,,,,,,,,,,,,,,,,,,,,,
49,1,"Support operations and analytic projects related to the capacity planning, allocation, and fulfillment needs for compute, storage, and network resources.
Work with partner teams to re-engineer process workflows around demand planning, supply planning, ordering, and fulfillment.
Work with engineering to specify requirements and user test plans for software systems to support capacity planning, forecasting, modeling, and resource allocation/distribution.
Coordinate projects across functional teams and business units to deliver features and releases within ambitious timelines.
Play a key role in the advancement of strategy, policy, and supporting tools for operations.",9,7,,9,,,,,,,,,,,,,,,,,,,,,
50,1,"Work intensively on a project basis with our clients in order to help them solve their measurement and attribution challenges, leading to extensive incremental business growth.
Work closely with local Sales teams to open doors for clients. Scale your knowledge to the local Account Team so that they can scale this further to the rest of their accounts.
Work closely with the EMEA-wide expert knowledge community to stay updated and contribute to excellent community knowledge. Strive to constantly increase your own knowledge and the knowledge of those around you.
Build a thorough knowledge of how clients and agencies can use Google measurement solutions to meet their marketing objectives.",9,9,,10,,,,,,,,,,,,,,,,,,,,,
51,1,"Work closely across multiple teams.
Deliver a consistent worldwide strategy for initiatives to support our strategic alliances for energizing the market and ecosystem to partner with Google.
Be responsible for the global strategy, core initiative development, and funding programs, and analytics to drive effective partner Go-to-Market initiatives that provide value for our customers and ignite our ecosystem.
Understand our partnerships, their goals and the intersection with Google’s, design innovative GTM campaigns and evaluate which partners we need to support.
Guide regional teams in understanding the initiatives across the Americas, EMEA and JAPAC.",10,7,,9,,,,,,,,,,,,,,,,,,,,,
52,1,"Develop, track program plans, consult on solutions to technical problems, and communicate schedule and technical considerations to leadership.
Support Software Technical leads in managing timing risks, bug tracking and conducting software performance analysis.
Prioritize activities for quick execution of critical path work items.
Understand and communicate engineering challenges and project strategy.",7,9,,10,,,,,,,,,,,,,,,,,,,,,
53,1,"Work with the team to identify and qualify business opportunities, identify key customer technical objections and develop the strategy to resolve technical impediments.
Manage the technical relationship with Google’s customers, including managing product and solution briefings, proof-of-concept work, and the coordination of additional technical resources.
Work directly with customers to demonstrate and prototype Google Cloud product integrations in customer/partner environments.
Recommend integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution using best practices on Google Cloud.
Travel to customer sites, conferences, and other related events as required.",9,7,,8,,,,,,,,,,,,,,,,,,,,,
54,1,"Implement, troubleshoot and support complex technical solutions with DoubleClick advertising products to drive customer success and product adoption.
Understand requirements, provide technical consultation and develop custom technical solutions to meet the complex needs of advertisers.
Contribute to product development by identifying gaps and deficiencies in current product offerings at a pod or product level to drive both operational efficiencies and business growth, collaborating with client services, product management and engineering teams to drive innovation.
Build strong relationships with the sales team and end advertisers/agencies to understand their key challenges and present/implement scalable technical solution proactively to earn the status of trusted advisor.",10,10,,7,,,,,,,,,,,,,,,,,,,,,
55,1,"Consult with customers on technical issues based on in-depth product and technical knowledge.
Develop technical tools and documentation to expedite implementations and improve product serviceability.
Act as a liaison for the engineering and product teams to commercialize solutions with partners and customers.
Provide product solution improvements and market opportunities to Product Managers and Engineering.
Provide highly technical implementation support in customer environment, including guidance on implementation feasibility of cross-product integrations.",9,9,,8,,,,,,,,,,,,,,,,,,,,,
56,1,"Serve as point of contact for Partners and manage consistent and operationally efficient “Partner first” business practices to onboard and support our partners through their partnership lifecycle.
Understand and propose the necessary systems and process changes to reduce friction for our partners and Sales teams.
Contribute to the development of existing and future state Partner Onboarding activities and initiatives that develop ongoing touch points with Partners to increase their success with Google Cloud.
Promote new initiatives and offers proactively to our partners in a scalable fashion that energizes our partner ecosystem.",7,10,,9,,,,,,,,,,,,,,,,,,,,,
57,1,"Work as part of a Sales team to identify and qualify Platform opportunities and determine if Google Cloud Platform is right for them. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Take responsibility for leading technical projects, including activities such as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Work hands-on with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Travel frequently around EMEA as required for meetings, technical reviews and onsite delivery activities.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.",7,8,,7,,,,,,,,,,,,,,,,,,,,,
